rank,attraction,state,ideal_duration,best_time,description,url_match
82, Montgomery,Alabama,  2-3 days,"  Early March to Late May 
             
 ","Montgomery is a city bursting with character. It is a historically important city as it was the centre of the American Civil Rights movement. Its streets are filled with colonial architecture and a pleasant smell of jasmine tingles your senses as you stroll around. The city has an old town spark to it and the American countryside is best experienced in Montgomery.

 The rich history of Montgomery opens up iconic landmarks such as the Rosa Park arrest site and Legacy Museum. One can truly indulge in the rural charm of the city by visiting Old Alabama Town and experiencing how Alabamians used to live in pre-modern times. Alabama is the heart of the American “Bible Belt” and caters to a wide variety of beautiful churches to visit. The First Baptist Church and Dexter Avenue King Memorial Baptist Church are the most famous churches in Montgomery.
",https://www.holidify.com/images/bgImages/MONTGOMERY.jpg
83, Brookline,Massachusetts,  2-4 days,"  Mid-august to Mid-october 
             
 ","Brookline is a city in Norfolk County, Massachusetts that boasts a rich heritage. Being the birthplace of John F. Kennedy and hence draws many visitors year-round and the site is also listed in the National Register of Historic Places. A town that is best explored on foot, it has various libraries, parks, and points of historical interest like St. Aidan's Church, John Goddard House, and museums that draw one's attention. Larz Anderson Park, Allande Farm are great for a day out with family, while the art and cultural scene is celebrated by the Kolbo Fine Judaica Gallery among many others.

 
",https://www.holidify.com/images/bgImages/BROOKLINE.jpg
84, Cambridge,Massachusetts,  2-3 days,"  May to October 
             
 ","Named after the renowned University of Cambridge in England, Cambridge is a part of Boston and is situated in Middlesex County, Massachusetts. The city is known to house the famous universities of the United States, Harvard University and the Massachusetts Institute of Technology (MIT), making it the mecca for the nerds. The beautiful Charles River runs through this city that is rich in heritage, art, and culture. The town celebrates its heritage through the various architectural marvels like the Christ Church, Elmwood House, and Mt. Auburn Cemetery. Not to mention, the famous Kendall Square that is known to be the ‘most innovative square mile’ in the world. Cambridge also has a pretty active music scene, and many live performances can be observed throughout the city.

 
",https://www.holidify.com/images/bgImages/CAMBRIDGE.jpg
85, Chelsea,Massachusetts,  2-3 days,"  June - September 
             
 ","Chelsea is one of the densely populated cities in Massachusetts, US. It lies on the Mystic River and is mainly an industrial city. The high number of working-class living here and the diverse population has made it an architectural wonder. Due to its vast industrial history, landmarks like the police station and Broadway Mini Mall are worth seeing. Walk across the Broadwalk and get mesmerized by the Tobin Bridge that connects Chelsea to Boston. To get in and feel the vibe of the city, a stroll through Chelsea Square is a must as it captures the essence in the form of food, people, and architecture.

 
",https://www.holidify.com/images/bgImages/CHELSEA.jpg
86, Concord,Massachusetts,  1-2 days,"  June - September 
             
 ","Concord is a town of historical significance located in Middlesex County, Massachusetts. A must-visit place for history enthusiasts, the Battle of Lexington and Concord took place here. The battle laid the base for the American Revolution, and the site is currently located at the Minute Man National Historical Park. The Concord Museum holds the detailed history of the town and one can physically explore it via the Battle Road Trail. 

 Other than the historical aspects, the city has a rich literary legacy too and has been home to Ralph Waldo Emerson, Louisa May Alcott, and Henry David Thoreau among many others. This draws one to the famous sites like the Old North Bridge, Orchard House, and the Walden Pond around which some of the famous works have been written. Parts of the 2019 film Little Women were shot here, and Concord also features in video games like Walden, Assassin's Creed 3, and Fallout 4.
",https://www.holidify.com/images/bgImages/CONCORD.jpg
87, Dedham,Massachusetts,  1-4 days,"  June - August 
             
 ","Dedham is a town that radiates an old-world charm, mainly as European colonists established it in 1635. Located in the Norfolk County of Massachusetts, it has a dense suburban feel and offers a cozy vibe with the cafés, restaurants, and parks lining the town. One can visit the Dedham Historical Society, walk around the Historic Dedham Square, or visit the Fairbanks House which is North America’s oldest standing timber-frame house. Not only this, Mother Brook, which is the first human-made canal in North America, is also located here. This quaint town also has literary roots as it has been an inspiration to many authors including Louisa May Alcott, author of Little Women, who spent some years of her life in the town of Dedham.

 
",https://www.holidify.com/images/bgImages/DEDHAM.jpg
88, Everett,Massachusetts,  1-2 days,"  June - September 
             
 ","Everett is located in Middlesex County, Massachusetts, and was the last one to have a bicameral legislature in the US. The city has a rich modern culture, and the famous casino Encore leads that scene. The city has witnessed some favorite movies being filmed, including Gone Baby Gone – a 2007 film starring Ben Affleck, and the 2012 ABC series Boston's Finest. Everett is also home to the actress Ellen Pompeo, and the old Everett High School has been used for the movies like That's My Boy and Ghostbusters. However, the roots of the city lie in Charlestown and Malden, whom it was part of, before becoming an individual city. A portion of the Revere Beach Parkway lies in the town and is worth a stroll.

 
",https://www.holidify.com/images/bgImages/EVERETT.jpg
89, Gloucester,Massachusetts,  1-2 days,"  June - September 
             
 ","Gloucester is located on the Cape of Ann and boasts of a rich 400-year old history. This city is famous for the fishing industry and also serves as the nation's oldest seaport. The seaside of Gloucester makes a perfect place for family outings and relishing the fresh seafood. It is not only the beaches and the food that makes Gloucester popular summer destination, but it is also brimming with painting, sculpting, and literature scene. Further, one can go whale watching, learn at the Gloucester Fisherman's Memorial, visit Hammond Castle, or relax on Good Harbor Beach.

 
",https://www.holidify.com/images/bgImages/GLOUCESTER.jpg
90, Hudson,New York,  3 days," 
 
 ","Hudson is just a few thirteen minutes away or around three miles drive away from the city centre of New York. It is a beautiful yet calm and serene river-port town from the 18th century making it a perfect getaway spot for all kinds of travellers. The main point of attraction in Hudson is Warren Street, where the majority of commercial establishments are. A walk down here will provide lots of sporting, shopping and historical experiences. This one-mile-long street has art galleries, museums, and dining, drinking and shopping by-lanes. Every shop and outlet has unique things to offer

 Nightlife of Hudson is very enjoyable with world renowned pubs, discos and restaurants having social gathering events . At almost every street, one can find amazing musicians, artist groups and conclaves. The most famous is Basilica Hudson, offering varied programs from music, film and art to exhibitions, farmers and collections. Laugh with live comedy acts at Club Helsinki Hudson and enjoy food at Southern Soul Eatery. There is also a lighthouse which offers boat rides and views of Athens Town. The Firefighting museum is also famous with the locals and history buff. It has old and antique fire engines, where children can dress up as firemen and experience hands-on activities.

The small riverside city is much more economic and inexpensive than New York City. 
There is a farmer’s market in summers on Saturday mornings where fresh farm-cut vegetables, herbs, nuts, mushrooms, meat, pickles and fruits are available.

",https://www.holidify.com/images/bgImages/HUDSON.jpg
91, Groton,Massachusetts,  1-3 days,"  mid-june to mid-september 
             
 ","Groton is a quaint town with an exciting history and is located in Middlesex County, Massachusetts. The city provides a rural feel and has various trails and hikes spread across its length. There are over 100 trails to explore for hunting, camping, biking, or hiking. Around 30 percent of the town is protected open space and has been made accessible via Gibbet Hill Barn and Trails, Nashua River Trail, visit Nashoba Paddler and Luina Greine Farm, and many others. Groton is also the birthplace of William Prescott, a revolutionary and commander of the Battle of Bunker Hill. The town was also the battlefield of King Philip’s War, and its rich history can be explored at the Groton Historical Society & Museum.

 
",https://www.holidify.com/images/bgImages/GROTON.jpg
92, Beacon,New York,  3 days," 
 
 ","Beacon is located in the Hudson Valley and and 100 miles or two hours’ drive from the New York City from New York City. It has always been a haven for art and history lovers with artsy pubs and restaurants all around the town. The most prominent ones are Dogwood on Main Street, which has fresh vegetarian options and carefully selected beers.  Town Crier café is also frequented by people for beautiful Friday night dinners with jazz, rock and pop music. Beacon Bread Company gives amazing avocado toasts and sweets. Others include Homespun Foods, Hudson valley Brewery and Beacon Falls Café. 

 Prominent tourist spots include Dia Art Foundation’s Art Gallery and Richard Serra’s monumental steel sculptures. Children under 12 are admitted free of cost. There are boutiques and shops along the Main Street like Beacon Arts Union, Reservoir and Wood, Vintage Beacon and Zakka Joy are well-known. Zakka Joy has great toys with amazing and unique designs. Beacon is well connected with airports to all major cities with an average travel time of 1 hour. Even by railways, Metro Railroad is quite affordable and comfortable. Beacon can be reached by road, with an average travel time of 1 hour from New York. 
",https://www.holidify.com/images/bgImages/BEACON.jpg
93, Cape May,New Jersey,  3 days," 
 
 ","Cape May, New Jersey is a easy 160 miles away which is fabulous three hour drive from New York City hosting backpacking travellers and adventure seekers as frequent visitors. It has an amazing Victorian-era culture, with museums, state homes and art galleries. Victorian manors offer great restaurants, with the prominent ones being Tisha’s, Lobster House’s Market, Peter Shields and Washington Inn. 

 Visitors are spoilt for choice when it comes to shopping at Washington Street Mall. It has small boutiques, art galleries and chocolate shops. Seaside of Philadelphia, Baltimore and Washington are great historical spots for observation. The Kahoon Hallow beach is an excellent place to spend time. Water sports are common and crowded during the summer months. 

The best time to visit is during the summer months, but it is quite crowded and expensive. 
To get the same experience, at a more economical cost, it is good to visit during the autumn months too. 
Cape May has all sorts of events going on all through the year. 
Charges for water sports vary from USD 40 to USD 100 depending on the sport.

",https://www.holidify.com/images/bgImages/CAPE-MAY.jpg
94, Hamptons,New York,  5 days," 
 
 ","Hamptons is a two hour drive totaling to 95 miles distance from New York towards the East Coast and has many beach towns spread across the Long Island. It is a great spot for night-outs, drinking and shopping. There is also an exhibition centre and an aquarium to showcase the flora and fauna of the area at Riverhead.

 Places to visit are Montauk Point Lighthouse which is thronged by photographers for its beauty. Art Deco theatre is also visited for its LED lights display and performances in the evenings. Dune Roads gives driving experiences among the sand dunes, with views of the massive ocean and beach homes of celebrities. Vineyards adorn the are North Folk, where people can taste all kinds of wine and visit breweries. There is a spot called Big Duck, built in 1931, a large wooden duck which now serves as a tourist information center and a gift shop, with meadows and lawns around.   Wildlife lovers can visit Quogue Wildlife Range which has exotic birds like bald eagle, falcons and hawks. Others include beaches with water sports, museums and art galleries with Italian Renaissance and French history. The eastern end has a number of windmills, landscaped gardens and artificial and natural ponds for relaxation. 

The best time to visit is at the end of summer season, it is most crowded at that time. Winter season is strictly prohibited because of snow.
Spring season is also a good time to visit. 
Given all of the facilities, it is a spot for the wealthy and is quite expensive. 

",https://www.holidify.com/images/bgImages/HAMPTONS.jpg
95, Montauk,New York,  3 days," 
 
 ","Montauk is located to the East of Hamptons, overlooking the Atlantic Ocean. It is approximately 120 miles away from the city equivalent to a three hour drive. Montauk offers lots of activities throughout the weekend, like fishing, surfing, water sports or pure relaxation for families as well as individuals. The favourite spot among people is Ditch plains along the coast which is a 2-mile long road decked with hiking trails and walks. Montauk Lighthouse, Shadmoor State Park and Camp hero State Park are favourite sites for exploring old military bunkers and stone homes. 

 However, the Montauk beach remains its prime attraction. There are a lot of surfing and water sports around the coast along with famous restaurants such as Blue Stone Lane and Primavera. All these places offer spectacular views of the ocean at sunset and an amazing ambience for food, beer and drinks. People usually start arriving from Friday evenings and stay till Sunday afternoon.   

Montauk is quite crowded during summer weekends, but that is the best time to visit.
Earlier, it used to be a quiet fishing town, but it has recently become an expensive and luxurious getaway. 
Private vehicle owners have to be cautious of the limited parking options, so it is best to visit the place by train or Hampton buses. 

",https://www.holidify.com/images/bgImages/MONTAUK.jpg
96, Newport,Rhode Island,  3 days," 
 
 ","Newport is 180 miles far or close to three hour drive from New York City, located on Rhode Island. It is a beautiful sea-facing village rich in natural beauty and historical summer stone mansions there are absolute beauties built by some of the wealthiest Americans. 

 The most popular and most frequented dining spots are Mooring Seafood Kitchen and Bar for all types of light snacks, Lobster Shack for seafood, Goat Island, Midtown Oyster Bar, Roof Deck Bar and Umi Asian Cuisine. These provide stunning views of the ocean and sunsets with roof-top accommodations.  There are many options to explore in the town as well. For history lovers, Newport Art Museum have some of the oldest American paintings and Touro synagogue nearby is America’s oldest synagogue. The area around Newport mansions has some of the oldest stone-made mansions built during the 18th century; some of them have Italian style interiors with marbles. For a more adventurous trip, head to  Easton Beach and Bay, The Landing and Newport’s Cliff Walk which offer rocky terrains, water sports and long walks along the Atlantic coast. If you feel like dancing there are pubs, pop discos and studios around like Boom Boom Room or Newport’s Café. 

Travelling during peak time in mornings around 9 am to 2 pm is unadvisable as there might be too much of traffic. 
It is advisable to visit the coastal belt areas early in the morning for breathtaking views as well as less crowd. 

",https://www.holidify.com/images/bgImages/NEWPORT.jpg
97, Buffalo,New York,  3 days," 
 
 ","Buffalo is the second-largest city located in New York State and city has a fantastic culture of art, history and beautiful landscaped gardens, which are a favourite among the locals and tourists alike. The best and most visited spot is around Buffalo is Niagara Falls. There are plenty of family-friendly attractions as well such as Buffalo Museum of Science, Buffalo Zoo and Ralph Wilson Children’s Museum. 

 For a more adventure-filled trip, plan your weekend around the Niagara Falls. It has boat rides near the mouth of the falls, Whirlpool Jet Boat Rides near Niagara Gorge which are simply amazing. Canalside is a more culturally oriented spot with various camps and concerts being held all around the year. It also offers adventures like Rock Climbing, ice skating and ice biking, kayaking and sailing. People also visit Darwin House which has complex and beautiful architecture. Anchor Bar, Top of Falls Restaurant, Parkside Meadow and Buffalo Wing Tail are the most visited restaurants and eateries around the place. 
",https://www.holidify.com/images/bgImages/BUFFALO.jpg
98, Cape Cod,Massachusetts,," 
 
 ","Cape Cod is  200 miles away or about 4 and a half hours away  to the south of New York City and one of the most popular weekend spots around the city. Weekends are a festival in Cape Cod, with bands, music and dances along the streets here. Apart from them, there are cruises to the ocean, biking trails along hills, whale-watching, water sports, fishing and other outdoor activities in and around the area of Provincetown. 

 For those who love history, there are many museums and galleries but the most prominent ones are around Provincetown. There is an old lighthouse which is very famous and offers a huge backdrop of the history. There are world-class restaurants on the Main Street of town Chatam. Also, there are shopping lanes around the Main Town offering retail shopping at great prices. 
",https://www.holidify.com/images/bgImages/CAPE-COD.jpg
99, Bedford,New York,  3 days," 
 
 ","About an hour away or 46 miles from the buzz of NYC is the small town of Bedford. The town is home to just under 19,000 residents and is home to two national landmarks: the historic home of Bill and Lois Wilson, the founders of Alcoholics Anonymous and the John Jay Homestead, the original home of one of the founding fathers of the United States. 

 The Mianus River flows through the small town that is surrounded by some of the best examples of New York's natural scenery. Several helicopter tours are available around Bedford, offering stellar views of the state, starting at about $700 per traveller. Bedford is also famously home to a long list of Hollywood and industry A-listers with some famous names including Mariah Carey, Blake Lively and Ralph Lauren. 
",https://www.holidify.com/images/bgImages/BEDFORD.jpg
100, Norwalk,Connecticut,," 
 
 ","78 miles away from NYC is the city of Norwalk in Connecticut- a small region is home to some beautiful waterfronts and museums, making it ideal for a weekend getaway. Norwalk hosts two major festivals: the Greek Orthodox Festival in August that features Greek culture and the Round Hill Highland Scottish games. 

 The South Norwalk Historic District, dubbed SoNo, is a blend of classic waterfront views and urban chic. The SoNo area is perfect for its laidback cafes and eateries like The Match and Romanacci Cafe. Nature enthusiasts can also hike to the Sheffield Island Lighthouse and its surrounding trails. 
",https://www.holidify.com/images/bgImages/NORWALK.jpg
